Chemform,N,RMSAD (SQS)
WVNbRu,4,0.085443843
W3VNbRu,4,0.061963898
VNb2W2Ru,4,0.059095387
VReNbRuTa,5,0.093416054
VTi3Hf2Ta2W2,5,0.178029066
VTi3W2Ta2Mo2,5,0.097940627
VW3Ru2Nb2Ta2,5,0.078502672
WV7,2,0.043351068
WV3,2,0.046456823
VW,2,0.043510273
VW3,2,0.02742765
VW7,2,0.02658228
VZr3Mo2Hf2W2,5,0.238769249
VZrReWRu,5,0.130007391
WHf3V2Ta2Ti2,5,0.235125451
WNbZr2,3,0.174642742
ReW7,2,0.016728941
ReW3,2,0.027058413
WRu3Nb2Ta2V2,5,0.119822487
RuW7,2,0.063146543
WTi3Hf2Ta2V2,5,0.193402801
WTi3Mo2V2Ta2,5,0.107243044
WTiNbTaV,5,0.097072621
WV3Nb2Ta2Mo2,5,0.081185586
WVMo2,3,0.049078746
ZrHf3V2Mo2W2,5,0.176459399
ZrNb,2,0.164481519
ZrWNb,3,0.125631433
ZrWNb2,3,0.112271236
